"agency_cd","site_no","dateTime","Flow","Flow_cd","GH","GH_cd","tz_cd"
"USGS","12488500",1980-12-11,105,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-12,115,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-13,121,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-14,130,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-15,219,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-16,243,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-17,273,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-18,267,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-19,249,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-20,232,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-21,283,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-22,513,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-23,576,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-24,478,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-25,1070,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-26,3070,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-27,2290,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-28,1360,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-29,985,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-30,912,"A",NA,NA,"UTC"
"USGS","12488500",1980-12-31,897,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-01,734,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-02,622,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-03,534,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-04,465,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-05,416,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-06,372,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-07,335,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-08,306,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-09,281,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-10,258,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-11,238,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-12,221,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-13,207,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-14,196,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-15,186,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-16,176,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-17,172,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-18,168,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-19,163,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-20,159,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-21,164,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-22,175,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-23,180,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-24,180,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-25,174,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-26,172,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-27,167,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-28,165,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-29,159,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-30,154,"A",NA,NA,"UTC"
"USGS","12488500",1981-01-31,149,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-01,143,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-02,140,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-03,137,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-04,133,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-05,131,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-06,127,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-07,123,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-08,122,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-09,119,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-10,110,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-11,95,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-12,95,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-13,110,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-14,130,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-15,190,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-16,352,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-17,444,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-18,458,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-19,920,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-20,796,"A",NA,NA,"UTC"
"USGS","12488500",1981-02-21,620,"A",NA,NA,"UTC"
